# Upstream inventory — 2026-09-22

Generated from `upstream-daily.mjs --no-fetch` at upstream `1c0a69c0ceddb2fd21581c17ab09f6c500b89ba1`.
This is a review ledger, not a completion claim. `already-present` means every changed path matches the source commit tree; `mixed` means only part is present; `review` requires a final TAKE/HAND-MERGE/SKIP decision.

Columns: `sha` | `date` | `route-hint` | `state` | `backend-files` | `frontend-files` | `other-files` | `subject` | `affected-paths`
1ee929e4b	2026-08-26	MERGE	review	12	0	0	fix: broadcast channel cache invalidations	backend/cmd/server/wire_gen.go;backend/go.sum;backend/internal/handler/openai_gateway_handler_test.go;backend/internal/repository/channel_cache.go;backend/internal/repository/channel_cache_test.go;backend/internal/repository/wire.go;backend/internal/service/billing_token_cost_request_test.go;backend/internal/service/channel_available_test.go;backend/internal/service/channel_service.go;backend/internal/service/channel_service_test.go;backend/internal/service/model_plaza_service_test.go;backend/internal/service/model_pricing_resolver_test.go
e1eff57c2	2026-08-26	REBUILD	mixed	0	5	0	fix(auth): preserve promo codes through OAuth registration	frontend/src/components/auth/EmailOAuthButtons.vue;frontend/src/components/auth/LinuxDoOAuthSection.vue;frontend/src/components/auth/__tests__/EmailOAuthButtons.spec.ts;frontend/src/components/auth/__tests__/OAuthLoginSections.spec.ts;frontend/src/views/auth/RegisterView.vue
6d339ec93	2026-08-28	MERGE	mixed	4	0	0	fix: honor persisted cooldown when dropping in-process account blocks	backend/internal/service/openai_account_runtime_block_fastpath.go;backend/internal/service/openai_account_runtime_block_fastpath_test.go;backend/internal/service/openai_account_runtime_transient_test.go;backend/internal/service/openai_upstream_transport_error.go
5fea83dca	2026-08-30	MERGE	mixed	4	0	0	fix: 修复429未耗尽额度仍触发账号退避	backend/internal/service/openai_account_runtime_block_fastpath.go;backend/internal/service/openai_account_runtime_block_fastpath_test.go;backend/internal/service/ratelimit_service.go;backend/internal/service/ratelimit_service_openai_test.go
ca9b4d73f	2026-08-31	MERGE	mixed	5	0	0	fix(openai-ws): share immutable replay bodies to stop O(T²) copying	backend/internal/service/openai_ws_forwarder_ingress.go;backend/internal/service/openai_ws_forwarder_ingress_test.go;backend/internal/service/openai_ws_forwarder_payload.go;backend/internal/service/openai_ws_http_bridge.go;backend/internal/service/openai_ws_replay_allocation_test.go
0e08c3999	2026-08-31	MERGE	mixed	7	0	0	fix(openai-ws): remember rejected encrypted content across turns	backend/internal/service/openai_encrypted_content_lineage.go;backend/internal/service/openai_encrypted_content_lineage_test.go;backend/internal/service/openai_gateway_forward.go;backend/internal/service/openai_ws_forwarder_ingress.go;backend/internal/service/openai_ws_forwarder_ingress_session_test.go;backend/internal/service/openai_ws_http_bridge.go;backend/internal/service/openai_ws_state_store.go
163eb7ffa	2026-08-31	REBUILD	review	13	5	0	fix(ops): bound database-backed system logs	backend/internal/config/config.go;backend/internal/config/config_test.go;backend/internal/service/ops_cleanup_overlay_test.go;backend/internal/service/ops_cleanup_service.go;backend/internal/service/ops_log_runtime.go;backend/internal/service/ops_log_runtime_test.go;backend/internal/service/ops_runtime_snapshot_test.go;backend/internal/service/ops_service.go;backend/internal/service/ops_settings.go;backend/internal/service/ops_settings_advanced_test.go;backend/internal/service/ops_settings_models.go;backend/internal/service/ops_system_log_sink.go;backend/internal/service/ops_system_log_sink_test.go;frontend/src/api/admin/ops.ts;frontend/src/i18n/locales/en/admin/ops.ts;frontend/src/i18n/locales/zh/admin/ops.ts;frontend/src/views/admin/ops/components/OpsSystemLogTable.vue;frontend/src/views/admin/ops/components/__tests__/OpsSystemLogTable.spec.ts
c74a4f521	2026-08-31	REBUILD	review	2	1	0	fix(billing): 补上 glm-5.3 / glm-5.3-flash 兜底价，避免被 glm-5 子串匹配抢走	backend/internal/service/billing_service.go;backend/internal/service/billing_service_test.go;frontend/src/composables/useModelWhitelist.ts
a10ff1255	2026-08-31	MERGE	mixed	4	0	0	fix(openai-ws): classify canceled client streams	backend/internal/handler/openai_client_disconnect_test.go;backend/internal/handler/openai_gateway_handler.go;backend/internal/service/openai_ws_forwarder_client_cancel_test.go;backend/internal/service/openai_ws_forwarder_v2.go
5fb5dfb34	2026-08-09	MERGE	mixed	4	0	0	fix(openai): reacquire passthrough turn slots	backend/internal/handler/openai_gateway_handler.go;backend/internal/service/openai_ws_forwarder_ingress.go;backend/internal/service/openai_ws_passthrough_turn_pricing_test.go;backend/internal/service/openai_ws_v2_passthrough_adapter.go
222181efd	2026-09-02	MERGE	mixed	2	0	0	fix(anthropic): scope Fable credits errors to model	backend/internal/service/ratelimit_service.go;backend/internal/service/ratelimit_service_anthropic_window_limit_test.go
a77423066	2026-09-02	MERGE	mixed	2	0	1	fix(grok): keep inconclusive billing accounts eligible	README.md;backend/internal/service/account.go;backend/internal/service/account_grok_media_eligibility_test.go
9ad386569	2026-09-02	MERGE	mixed	2	0	0	fix(gateway): 负载感知调度补齐渠道模型限制的逐账号检查	backend/internal/service/gateway_channel_restriction_load_aware_test.go;backend/internal/service/gateway_scheduling.go
01bd9b71a	2026-09-02	REBUILD	mixed	3	6	0	feat: add Grok media eligibility controls	backend/internal/handler/admin/grok_media_eligibility_handler.go;backend/internal/handler/admin/grok_media_eligibility_handler_test.go;backend/internal/server/routes/admin.go;frontend/src/api/admin/accounts.ts;frontend/src/components/account/EditAccountModal.vue;frontend/src/components/account/__tests__/EditAccountModal.grokMediaEligibility.spec.ts;frontend/src/i18n/locales/en/admin/accounts.ts;frontend/src/i18n/locales/zh/admin/accounts.ts;frontend/src/types/index.ts
81fd85300	2026-08-27	MERGE	mixed	4	0	0	feat(upstream): add HTTP/2 PING keepalive for long LLM generation streams	backend/internal/repository/http_upstream.go;backend/internal/repository/http_upstream_test.go;backend/internal/service/http_upstream_profile.go;backend/internal/service/http_upstream_profile_test.go
9dc4c40bf	2026-09-02	MERGE	review	2	0	0	test(upstream): align HTTP/2 keepalive tests with long-stream profile API	backend/internal/repository/http_upstream_http2_keepalive_test.go;backend/internal/repository/http_upstream_test.go
f5e4da5e7	2026-09-02	MERGE	review	1	0	0	style(upstream): gofmt http_upstream_profile.go	backend/internal/service/http_upstream_profile.go
a7f1ed8fa	2026-09-02	MERGE	already-present	2	0	0	fix(openai-ws): track pending passthrough turns	backend/internal/service/openai_ws_v2/passthrough_relay.go;backend/internal/service/openai_ws_v2/passthrough_relay_test.go
8ed48e27a	2026-09-02	MERGE	already-present	2	0	0	fix(setup): avoid hardcoded postgres connection	backend/internal/setup/setup.go;backend/internal/setup/setup_test.go
9be9c0b68	2026-09-02	MERGE	mixed	7	0	0	fix(gateway): 转发失败的请求立即释放会话槽，不再占用整个空闲超时窗口	backend/internal/handler/gateway_handler.go;backend/internal/repository/session_limit_cache.go;backend/internal/repository/session_limit_cache_integration_test.go;backend/internal/service/gateway_scheduling.go;backend/internal/service/session_limit_cache.go;backend/internal/service/session_limit_release_test.go;backend/internal/testutil/stubs.go
185951957	2026-09-02	MERGE	review	0	0	5	feat(deploy): support optional Apple network subnet	deploy/.env.example;deploy/APPLE_CONTAINER.md;deploy/apple-container.sh;deploy/tests/apple-container-test.sh;deploy/tests/fixtures/bin/container
